BCW_ID,Genus
BCW_200001,Acidovorax
BCW_200002,unassigned
BCW_200003,unassigned
BCW_200004,Enterobacter
BCW_200005,Enterobacter
BCW_200006,Enterobacter
BCW_200007,Enterobacter
BCW_200008,Acinetobacter
BCW_200009,Enterobacter
BCW_200010,unassigned
BCW_200011,Acidovorax
BCW_200012,Enterobacter
BCW_200013,Enterobacter
BCW_200014,Enterobacter
BCW_200015,Enterobacter
BCW_200016,Enterobacter
BCW_200017,Enterobacter
BCW_200018,Enterobacter
BCW_200019,unassigned
BCW_200020,unassigned
BCW_200021,unassigned
BCW_200022,unassigned
BCW_200023,Enterobacter
BCW_200024,unassigned
BCW_200025,Enterobacter
BCW_200026,Enterobacter
BCW_200027,Enterobacter
BCW_200028,unassigned
BCW_200029,Enterobacter
BCW_200030,Raoultella
BCW_200031,Citrobacter
BCW_200032,Acinetobacter
BCW_200033,unassigned
BCW_200034,Enterobacter
BCW_200035,Enterobacter
BCW_200036,Citrobacter
BCW_200037,unassigned
BCW_200039,unassigned
BCW_200040,unassigned
BCW_200041,Enterobacter
BCW_200042,unassigned
BCW_200043,Enterobacter
BCW_200044,Acinetobacter
BCW_200045,Enterobacter
BCW_200046,Pseudomonas
BCW_200047,Enterobacter
BCW_200048,unassigned
BCW_200049,Klebsiella
BCW_200050,Enterobacter
BCW_200051,Lactococcus
BCW_200052,unassigned
BCW_200053,Klebsiella
BCW_200054,Enterobacter
BCW_200055,Enterobacter
BCW_200056,Pseudomonas
BCW_200057,Microbacterium
BCW_200058,Pseudomonas
BCW_200060,unassigned
BCW_200061,Serratia
BCW_200063,unassigned
BCW_200064,Enterobacter
BCW_200065,Pseudomonas
BCW_200066,unassigned
BCW_200067,Microbacterium
BCW_200068,Pseudomonas
BCW_200069,Klebsiella
BCW_200070,Raoultella
BCW_200071,unassigned
BCW_200072,Raoultella
BCW_200073,Pseudomonas
BCW_200074,unassigned
BCW_200077,Lactococcus
BCW_200078,Micrococcus
BCW_200079,unassigned
BCW_200080,unassigned
BCW_200081,Acinetobacter
BCW_200082,Enterobacter
BCW_200083,Klebsiella
BCW_200084,Klebsiella
BCW_200085,unassigned
BCW_200086,Klebsiella
BCW_200087,unassigned
BCW_200089,Burkholderia
BCW_200091,Burkholderia
BCW_200092,Enterobacter
BCW_200093,Klebsiella
BCW_200094,unassigned
BCW_200095,Enterobacter
BCW_200096,Klebsiella
BCW_200097,Acinetobacter
BCW_200098,unassigned
BCW_200099,Klebsiella
BCW_200100,Acinetobacter
BCW_200101,Bacillus
BCW_200102,Enterobacter
BCW_200103,Stenotrophomonas
BCW_200104,Enterobacter
BCW_200105,Acinetobacter
BCW_200106,unassigned
BCW_200107,Enterobacter
BCW_200108,unassigned
BCW_200109,Enterobacter
BCW_200111,Citrobacter
BCW_200112,Acinetobacter
BCW_200113,unassigned
BCW_200114,Serratia
BCW_200115,Morganella
BCW_200116,Acinetobacter
BCW_200117,unassigned
BCW_200118,Acinetobacter
BCW_200119,Acinetobacter
BCW_200120,unassigned
BCW_200121,Lactococcus
BCW_200122,Enterobacter
BCW_200123,Klebsiella
BCW_200124,Klebsiella
BCW_200126,unassigned
BCW_200127,unassigned
BCW_200128,Lactococcus
BCW_200129,Klebsiella
BCW_200130,Enterococcus
BCW_200131,unassigned
BCW_200132,Klebsiella
BCW_200133,unassigned
BCW_200134,unassigned
BCW_200135,unassigned
BCW_200136,Klebsiella
BCW_200137,Klebsiella
